25	45	93	10	174	9	24	71	58	22	35	11	14	12	30	14	60	26	26	33	10	12	3	20	54	92	27	14	13	17	18	8	126	129	23	33	7	28	49	13	35	35	36	20	22	38	19	2	35	135	26	114	19	59	28	59	27	97	87	8	38	11	24	11	18	21	35	13	28	30	29	21	42	20
24	33	49	34	33	8	64	39	20	11	27	3	5	6	7	9	31	23	20	21	46	25	24	35	66	33	11	39	52	15	17	2	24	30	18	4	7	8	10	7	34	28	13	19	30	35	7	8	65	4	8	3	15	10	10	3	25	7	3	8	11	28	106	8	31	36	13	20	21	60	144	134	153	125
38	21	22	23	40	21	23	9	40	9	66	46	67	28	43	25	7	191	12	21	14	7	29	16	12	31	3	20	9	16	8	49	98	85	17	55	18	46	16	40	36	90	20	25	14	7	4	6	66	94	161	160	37	85	81	79	86	90	120	61	26	35	13	36	9	55	5	47	18	9	108	50	115	42
2	40	46	47	38	4	17	13	37	3	21	36	5	4	10	16	14	40	26	10	29	22	8	45	32	5	32	16	41	29	17	13	54	57	23	19	24	20	33	43	23	32	31	6	26	13	8	8	56	174	28	29	14	14	38	155	34	94	92	13	16	2	57	7	10	23	11	11	13	34	41	22	21	5
13	37	27	36	22	55	37	22	37	17	28	35	16	9	12	19	42	10	15	18	22	31	40	3	22	16	10	12	9	12	3	22	23	43	3	27	9	22	10	11	6	6	4	9	10	16	40	9	35	29	28	95	30	8	22	11	29	19	53	9	18	21	38	20	29	21	26	18	24	32	37	28	2	5
21	14	12	15	21	9	10	33	175	38	13	7	14	35	9	12	46	9	7	21	22	36	4	20	13	19	25	6	19	6	12	6	6	40	9	12	13	9	12	7	30	20	28	6	15	24	7	34	2	11	14	14	6	10	14	2	9	11	8	8	8	25	16	7	15	4	21	11	12	19	10	8	21	19
2	5	10	5	14	43	18	21	41	21	24	10	26	14	14	11	4	39	7	5	3	6	16	12	11	24	24	7	12	8	13	5	60	34	16	15	16	28	45	15	47	25	8	6	6	4	10	4	20	25	37	18	22	24	31	10	28	25	14	22	22	16	13	6	13	17	6	15	18	10	17	38	16	17
34	30	32	52	10	8	24	5	4	18	34	35	14	22	14	9	28	20	13	9	10	28	44	13	3	31	13	10	15	13	6	16	47	167	13	13	23	29	11	4	22	38	12	33	21	16	8	8	26	171	4	40	54	3	26	39	28	87	40	18	102	23	113	30	9	23	22	24	56	68	19	41	6	32
24	55	39	49	24	28	20	48	53	31	36	29	18	43	38	11	10	72	192	108	60	16	14	21	13	9	9	11	9	15	9	13	9	9	29	43	26	52	4	8	14	29	15	26	48	65	34	8	131	175	10	45	45	101	5	9	48	138	27	44	91	1	117	5	186	7	104	14	139	111	14	131	8	4
5	35	8	17	5	31	17	16	10	7	9	15	12	20	22	40	21	4	37	16	24	5	4	10	147	23	1	56	9	17	4	37	74	64	45	16	27	24	34	32	24	72	29	4	12	17	6	7	24	31	29	28	24	15	52	16	32	23	22	17	12	10	41	39	27	22	24	22	20	33	27	18	10	36
