0	0	0	-1	0	0	0	0
0	0	0	0	0	113.51	0	0
0	0	0	216	10.64	51.59	9.75	9.75
0	0	0	279	20.61	-65.65	175.11	-4.89
0	1	0	268	11.72	-80.29	143.88	-36.12
0	1	0	279	0.05	-77.83	109.38	-70.62
0	1	0	298	-33.89	-60.34	164.61	-15.39
0	1	0	314	-63.45	-33.38	164.9	-15.1
0	2	0	117	-110.89	-4.06	-169.35	10.65
0	2	0	243	-94.03	-2.68	36.4	-143.6
0	2	0	261	-70.84	9.86	-156.28	23.72
0	2	0	295	6.96	63.49	-173.83	6.17
0	3	0	172	31.55	92.71	-164.67	15.33
0	3	0	182	23.07	98.56	-84.53	95.47
0	3	0	198	5.46	98.32	-144.57	35.43
0	0	1	-1	0	0	0	0
0	0	1	0	0	87.46	0	0
0	0	1	148	13.4	83.07	71.84	71.84
0	0	1	210	66.63	55	170.35	-9.65
0	1	1	137	101.71	24.34	166.65	-13.35
0	1	1	149	92.32	18.67	72.28	-107.72
0	1	1	253	90.78	29.74	66.8	-113.2
0	1	1	266	79.93	32.29	-111.17	68.83
0	1	1	289	43.1	30.61	-164.13	15.87
0	1	1	308	4.63	39.77	163.97	-16.03
0	1	1	325	-10.69	53.73	151.05	-28.95
0	1	1	343	-23.75	50.79	-124.97	55.03
0	1	1	367	-47.38	35.23	-159.3	20.7
0	1	1	460	-106.57	-15.82	-172.6	7.4
0	2	1	95	-94.39	-18.88	-54.88	125.12
0	2	1	252	-54.17	-39.43	167.05	-12.95
0	2	1	312	42.69	-77.63	-174.46	5.54
0	3	1	106	56.35	-71.61	-134.71	45.29
0	3	1	115	52.62	-61.35	-93.79	86.21
0	3	1	243	8.37	30.04	-174.14	5.86
0	3	1	266	-19.12	63.84	-166.71	13.29
0	3	1	287	-31.48	94.93	162.54	-17.46
0	0	2	-1	0	0	0	0
0	0	2	0	-0	103.12	0	0
0	0	2	169	-14.68	92.86	-55.06	-55.06
0	0	2	190	-40.13	62.69	-165.09	14.91
0	0	2	235	-98.1	9.68	172.58	-7.42
0	1	2	101	-100.64	-6.46	-141.36	38.64
0	1	2	112	-90.12	-6.3	-80.22	99.78
0	1	2	134	-83.29	3.83	-124.83	55.17
0	1	2	234	-68.11	7.94	139.1	-40.9
0	1	2	255	-32.09	28.09	-165.9	14.1
0	1	2	300	49.02	61.19	172.98	-7.02
0	2	2	66	73.46	60.13	155.31	-24.69
0	2	2	87	68.79	49.89	67.98	-112.02
0	2	2	218	55.66	-3.24	-169.38	10.62
0	2	2	263	25.1	-84.52	173.28	-6.72
0	3	2	79	7.29	-103.31	157.14	-22.86
0	3	2	169	22.99	-71.99	16.84	-163.16
